#
## Proficy Historian SDK Data Export 
## Generated: 03/06/2023 09:24:27 AM
## Start Time: 03/02/2023 02:00:00 PM
## End Time: 03/03/2023 10:00:00 AM
## Interval: 60000 milliseconds
## Records Returned: 1200
#
Timestamp, SPLYO.CONDENSER_TEMPERATURE.F_CV, SPLYO.SHELF_OUTLET.F_CV, SPLYO.SHELF_INLET.F_CV, SPLYO.SHELF_SP.F_CV, SPLYO.TC_AVG.F_CV, SPLYO.VACUUM_SP.F_CV, SPLYO.CHAMBER_CM.F_CV, SPLYO.ROUGH_VACUUM.F_CV, SPLYO.CHAMBER_PIRANI.F_CV, SPLYO.CONDENSER_VACUUM.F_CV, SPLYO.CHAMBER_PRESSURE.F_CV
03/02/2023 15:56:00, -83.1, -39.2, -40.1, -40, 0, 0, 2100, 435, 1047, 2100, -7.0
03/02/2023 15:57:00, -83.5, -39.6, -40.2, -40, 0, 0, 2100, 434, 1047, 2100, -7.0
03/02/2023 15:58:00, -83.8, -39.9, -40.3, -40, 0, 0, 2100, 433, 1047, 2100, -7.0
03/02/2023 15:59:00, -84.1, -40, -40.2, -40, 0, 0, 2100, 434, 1047, 2100, -7.0
03/02/2023 16:00:00, -84.5, -40, -40.2, -40, 0, 0, 2100, 433, 1047, 2100, -7.0
03/02/2023 16:01:00, -84.6, -39.9, -40.1, -40, 0, 0, 2100, 433, 1047, 2100, -7.0
03/02/2023 16:02:00, -84.7, -39.9, -40, -40, 0, 0, 2100, 433, 1047, 2100, -7.0
03/02/2023 16:03:00, -84.9, -39.8, -40, -40, 0, 0, 2100, 433, 1047, 2100, -7.1
03/02/2023 16:04:00, -84.9, -39.7, -40, -40, 0, 0, 2100, 432, 1047, 2100, -7.1
03/02/2023 16:05:00, -84.9, -39.7, -40, -40, 0, 0, 2100, 432, 1047, 2100, -7.1
03/02/2023 16:06:00, -85, -39.7, -40, -40, 0, 0, 2100, 432, 1047, 2100, -7.1
03/02/2023 16:07:00, -85, -39.7, -40, -40, 0, 0, 2100, 431, 1047, 2100, -7.1
03/02/2023 16:08:00, -85, -39.7, -40, -40, 0, 0, 2100, 432, 1047, 2100, -7.1
03/02/2023 16:09:00, -85, -39.7, -40, -40, 0, 0, 2100, 431, 1047, 2100, -7.1
03/02/2023 16:10:00, -85.1, -39.7, -39.9, -40, 0, 0, 2100, 430, 1047, 2100, -7.1
03/02/2023 16:11:00, -85.1, -39.7, -40, -40, 0, 0, 2100, 430, 1047, 2100, -7.1
03/02/2023 16:12:00, -85.1, -39.7, -40, -40, 0, 0, 2100, 430, 1047, 2100, -7.1
03/02/2023 16:13:00, -85.1, -39.7, -40, -40, 0, 0, 2100, 429, 1047, 2100, -7.1
03/02/2023 16:14:00, -85.2, -39.7, -40, -40, 0, 0, 2100, 429, 1047, 2100, -7.1
03/02/2023 16:15:00, -85.2, -39.7, -40, -40, 0, 0, 2100, 429, 1047, 2100, -7.1
03/02/2023 16:16:00, -85.2, -39.7, -40, -40, 0, 0, 2100, 429, 1046, 2100, -7.1
03/02/2023 16:17:00, -85.2, -39.7, -40, -40, 0, 0, 2100, 428, 1047, 2100, -7.1
03/02/2023 16:18:00, -85.3, -39.7, -40, -40, 0, 0, 2100, 428, 1047, 2100, -7.1
03/02/2023 16:19:00, -85.3, -39.7, -40, -40, 0, 0, 2100, 429, 1047, 2100, -7.1
03/02/2023 16:20:00, -85.2, -39.7, -40, -40, 0, 0, 2100, 428, 1047, 2100, -7.1
03/02/2023 16:21:00, -85.4, -39.8, -40, -40, 0, 0, 2100, 427, 1046, 2100, -7.1
03/02/2023 16:22:00, -85.5, -39.8, -40, -40, 0, 0, 2100, 428, 1047, 2100, -7.1
03/02/2023 16:23:00, -85.5, -39.8, -40, -40, 0, 0, 2100, 428, 1047, 2100, -7.1
03/02/2023 16:24:00, -85.5, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.1
03/02/2023 16:25:00, -85.4, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.1
03/02/2023 16:26:00, -85.5, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.2
03/02/2023 16:27:00, -85.6, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.2
03/02/2023 16:28:00, -85.5, -39.8, -40, -40, 0, 0, 2100, 427, 1046, 2100, -7.2
03/02/2023 16:29:00, -85.7, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.1
03/02/2023 16:30:00, -85.6, -39.8, -40, -40, 0, 0, 2100, 426, 1047, 2100, -7.2
03/02/2023 16:31:00, -85.6, -39.8, -40, -40, 0, 0, 2100, 427, 1047, 2100, -7.2
03/02/2023 16:32:00, -85.7, -39.8, -40, -40, 0, 0, 2100, 426, 1046, 2100, -7.2
03/02/2023 16:33:00, -85.7, -39.9, -40, -40, 0, 0, 2100, 425, 1047, 2100, -7.2
03/02/2023 16:34:00, -85.8, -39.8, -40, -40, 0, 0, 2100, 425, 1047, 2100, -7.2
03/02/2023 16:35:00, -85.8, -39.8, -40, -40, 0, 0, 2100, 425, 1046, 2100, -7.2
03/02/2023 16:36:00, -85.9, -39.8, -40, -40, 0, 0, 2100, 426, 1046, 2100, -7.2
03/02/2023 16:37:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 425, 1047, 2100, -7.2
03/02/2023 16:38:00, -85.9, -39.8, -40, -40, 0, 0, 2100, 425, 1046, 2100, -7.2
03/02/2023 16:39:00, -85.9, -39.8, -40, -40, 0, 0, 2100, 424, 1046, 2100, -7.2
03/02/2023 16:40:00, -85.8, -39.9, -40, -40, 0, 0, 2100, 424, 1046, 2100, -7.2
03/02/2023 16:41:00, -85.8, -39.8, -40, -40, 0, 0, 2100, 424, 1046, 2100, -7.2
03/02/2023 16:42:00, -85.9, -39.8, -40, -40, 0, 0, 2100, 424, 1047, 2100, -7.2
03/02/2023 16:43:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 424, 1046, 2100, -7.2
03/02/2023 16:44:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:45:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:46:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:47:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:48:00, -86, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:49:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:50:00, -86, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:51:00, -86, -39.9, -40, -40, 0, 0, 2100, 423, 1046, 2100, -7.2
03/02/2023 16:52:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:53:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:54:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:55:00, -86, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:56:00, -86, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:57:00, -86, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 16:58:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 16:59:00, -86, -39.9, -40, -40, 0, 0, 2100, 421, 1046, 2100, -7.2
03/02/2023 17:00:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
03/02/2023 17:01:00, -85.9, -39.9, -40, -40, 0, 0, 2100, 422, 1046, 2100, -7.2
